"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Dec-2023"
VEDL,475,505.55,472.8,472.5,501.4,-,28.9,6.12,"2,58,27,648","1,280.20",523.65,240.8,5.78,101.49
IRFC,150.84,159.64,150.55,150.84,158.08,-,7.24,4.8,"6,23,23,577",976.55,229,74.6,2.59,107.76
TATAMOTORS,793,818.85,785.3,792.55,818,-,25.45,3.21,"1,97,16,910","1,582.40","1,179.00",696.25,-2.73,13.14
NHPC,82.4,86.84,81.97,82.18,84.8,-,2.62,3.19,"7,11,49,439",606.9,118.4,58,1.11,32.09
INDIGO,"4,388.00","4,505.00","4,376.15","4,368.55","4,505.00",-,136.45,3.12,"5,46,985",242.26,"5,035.00","2,819.55",10.03,55.27
BAJAJ-AUTO,"8,953.90","9,148.95","8,930.10","8,891.95","9,100.00",-,208.05,2.34,"7,46,013",677.88,"12,774.00","5,987.85",-9.19,49.34
RECLTD,545.6,562.5,544.55,545,557.5,-,12.5,2.29,"1,06,25,077",591.34,654,389.2,4.94,41.69
TATAPOWER,433.8,442.5,433.25,430.85,438.95,-,8.1,1.88,"1,73,72,298",760.75,494.85,280.2,-2.14,34.96
IOC,140.65,143.54,140.3,139.44,142,-,2.56,1.84,"2,06,87,458",293.93,196.8,116.6,-1.83,16.98
MOTHERSON,169.99,174.57,166.53,167,170.05,-,3.05,1.83,"5,32,62,330",911.37,216.99,90.2,-9.26,82.53
ZYDUSLIFE,986,996.65,972,978,995,-,17,1.74,"7,49,783",74.11,"1,324.30",630.85,-,51.24
JSWENERGY,670,680,665.05,664.15,675.05,-,10.9,1.64,"32,94,934",221.7,804.9,397.65,-1.21,47.14
BANKBARODA,261.3,266.95,258,259.98,264,-,4.02,1.55,"1,86,07,200",490.6,299.7,208,0.78,25.31
AXISBANK,"1,167.50","1,193.85","1,160.00","1,166.40","1,183.90",-,17.5,1.5,"75,42,210",892.46,"1,339.65",995.7,1.55,5.97
SHREECEM,"26,607.00","27,141.35","26,515.15","26,608.00","26,999.10",-,391.1,1.47,"40,294",108.62,"30,737.75","23,500.00",8.27,-3.37
VBL,631,645,626.2,633.5,642.7,-,9.2,1.45,"56,45,687",362.24,681.12,422.5,7.48,-40.2
JINDALSTEL,935,951.75,932.65,934.45,947.1,-,12.65,1.35,"11,79,083",111.39,"1,097.00",674.35,-0.29,38.76
BPCL,297.9,303.9,296.4,297,300.8,-,3.8,1.28,"95,86,531",288.51,376,216.23,-5.25,-36.73
DRREDDY,"1,246.00","1,255.15","1,236.35","1,239.85","1,253.55",-,13.7,1.1,"17,17,216",214.22,"1,421.49","1,074.00",-3.72,-78.33
MARUTI,"11,200.00","11,375.95","11,121.00","11,182.25","11,303.00",-,120.75,1.08,"4,17,214",469.72,"13,680.00","9,737.65",-0.32,5.81
SBILIFE,"1,435.00","1,452.95","1,429.30","1,431.85","1,447.00",-,15.15,1.06,"13,59,753",196.28,"1,936.00","1,307.70",-9.69,-0.49
ZOMATO,300,303.9,296.25,299.35,302.45,-,3.1,1.04,"4,93,09,068","1,480.16",304.65,114.15,18.83,148.93
CANBK,110,110.8,107.72,108.17,109.2,-,1.03,0.95,"5,99,64,689",656.07,128.9,82.69,3.87,-74.9
