"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 10-Jan-2024"
TCS,"4,200.00","4,297.00","4,170.00","4,038.85","4,265.00",-,226.15,5.6,"78,94,300","3,347.68","4,592.25","3,591.50",-8.88,8.77
TECHM,"1,653.10","1,714.00","1,636.30","1,642.80","1,701.80",-,59,3.59,"22,08,899",374.78,"1,807.70","1,162.95",-6.85,32.39
HCLTECH,"1,936.00","2,002.35","1,935.25","1,934.80","1,997.10",-,62.3,3.22,"48,02,079",949.42,"2,002.35","1,235.00",-0.08,29.67
INFY,"1,937.00","1,977.80","1,932.25","1,917.30","1,965.80",-,48.5,2.53,"80,36,913","1,576.18","2,006.45","1,358.35",-1.6,26.15
WIPRO,294.3,303.25,294.3,292.3,299.65,-,7.35,2.51,"1,95,05,556",585.21,320,208.5,-5.13,-35.56
JSWSTEEL,890.95,908,880.25,890.95,897,-,6.05,0.68,"16,14,629",144.46,"1,063.00",761.75,-12.04,7.37
SBILIFE,"1,469.90","1,488.00","1,458.65","1,468.45","1,478.00",-,9.55,0.65,"11,24,758",166.1,"1,936.00","1,307.70",0.45,1.17
BAJAJFINSV,"1,682.00","1,718.20","1,680.00","1,690.30","1,698.85",-,8.55,0.51,"14,67,079",249.58,"2,029.90","1,419.05",1.62,1.1
LT,"3,499.95","3,552.20","3,492.30","3,527.90","3,542.00",-,14.1,0.4,"17,94,238",632.99,"3,963.50","3,175.05",-10.07,-0.5
BRITANNIA,"4,928.50","4,958.40","4,881.65","4,926.30","4,945.00",-,18.7,0.38,"3,05,669",150.75,"6,469.90","4,641.00",2.9,-3.15
BHARTIARTL,"1,608.00","1,625.00","1,591.80","1,607.05","1,611.00",-,3.95,0.25,"41,45,892",668.92,"1,779.00","1,051.60",1.8,51.22
BAJFINANCE,"7,277.45","7,367.05","7,245.05","7,277.45","7,293.00",-,15.55,0.21,"8,08,963",590.41,"7,824.00","6,187.80",4.92,-5.25
TATACONSUM,965.2,980,959,970.1,971.95,-,1.85,0.19,"14,43,387",140.34,"1,256.44",882.9,4.68,-12.91
HINDUNILVR,"2,435.40","2,456.00","2,413.80","2,435.40","2,440.00",-,4.6,0.19,"16,51,911",403.49,"3,035.00","2,172.05",1.59,-5.51
ONGC,264,266.5,258.47,263.18,263,-,-0.18,-0.07,"1,30,53,552",343.66,345,209.7,2.44,24.08
HDFCLIFE,610.05,614.9,603,612.2,610.3,-,-1.9,-0.31,"19,66,939",120.01,761.2,511.4,-3.33,-5.08
HEROMOTOCO,"4,145.00","4,164.00","4,086.40","4,141.25","4,123.00",-,-18.25,-0.44,"3,55,269",146.76,"6,246.25","4,086.10",-9.74,0.08
TATAMOTORS,780.05,787.95,766.8,780.1,776.5,-,-3.6,-0.46,"1,11,44,005",867.33,"1,179.00",717.7,-2.48,-3.51
NESTLEIND,"2,272.05","2,278.00","2,241.25","2,256.05","2,244.00",-,-12.05,-0.53,"8,09,854",183.21,"2,778.00","2,145.40",1.88,-12.49
